id,focus,signal,slack,drag,confidence,score,lane
l001,window width,35,33,6,25,143,watch
l002,metric stability,35,34,6,55,175,watch
l003,explainability,35,35,6,85,207,ship
l004,feature drift,35,36,18,25,113,watch
l005,window width,35,37,18,55,145,watch
l006,metric stability,35,38,18,85,177,watch
l007,explainability,35,39,34,25,71,hold
l008,feature drift,35,40,34,55,103,hold
l009,window width,35,41,34,85,135,watch
l010,metric stability,60,42,6,25,211,ship
l011,explainability,60,43,6,55,243,ship
l012,feature drift,60,44,6,85,275,ship
l013,window width,60,45,18,25,181,watch
l014,metric stability,60,46,18,55,213,ship
l015,explainability,60,47,18,85,245,ship
l016,feature drift,60,48,34,25,139,watch
l017,window width,60,32,34,55,137,watch
l018,metric stability,60,33,34,85,169,watch
l019,explainability,85,34,6,25,245,ship
l020,feature drift,85,35,6,55,277,ship
l021,window width,85,36,6,85,309,ship
l022,metric stability,85,37,18,25,215,ship
l023,explainability,85,38,18,55,247,ship
l024,feature drift,85,39,18,85,279,ship
l025,window width,85,40,34,25,173,watch
l026,metric stability,85,41,34,55,205,ship
l027,explainability,85,42,34,85,237,ship
